Category,Cluster_Number,Color,Customer ID,Discount Applied,Frequency of Purchases,Gender,Item Purchased,Location,Payment Method,Preferred Payment Method,Promo Code Used,Season,Shipping Type,Size,Subscription Status,Age,Previous Purchases,Purchase Amount (USD),Review Rating
Clothing,Cluster 3,Gray,1,Yes,Fortnightly,Male,Blouse,Kentucky,Credit Card,Venmo,Yes,Winter,Express,L,Yes,55,14,53,3.1
Clothing,Cluster 3,Maroon,2,Yes,Fortnightly,Male,Sweater,Maine,Bank Transfer,Cash,Yes,Winter,Express,L,Yes,19,2,64,3.1
Clothing,Cluster 3,Maroon,3,Yes,Weekly,Male,Jeans,Massachusetts,Cash,Credit Card,Yes,Spring,Free Shipping,S,Yes,50,23,73,3.1
Footwear,Cluster 1,Maroon,4,Yes,Weekly,Male,Sandals,Rhode Island,PayPal,PayPal,Yes,Spring,Next Day Air,M,Yes,21,49,90,3.5
Clothing,Cluster 3,Turquoise,5,Yes,Annually,Male,Blouse,Oregon,Cash,PayPal,Yes,Spring,Free Shipping,M,Yes,45,31,49,2.7
Footwear,Cluster 1,White,6,Yes,Weekly,Male,Sneakers,Wyoming,Venmo,Venmo,Yes,Summer,Standard,M,Yes,46,14,20,2.9
Clothing,Cluster 3,Gray,7,Yes,Quarterly,Male,Shirt,Montana,Debit Card,Cash,Yes,Fall,Free Shipping,M,Yes,63,49,85,3.2
Clothing,Cluster 3,Charcoal,8,Yes,Weekly,Male,Shorts,Louisiana,Debit Card,Credit Card,Yes,Winter,Free Shipping,L,Yes,27,19,34,3.2
Outerwear,Cluster 2,Silver,9,Yes,Annually,Male,Coat,West Virginia,Venmo,Venmo,Yes,Summer,Express,L,Yes,26,8,97,2.6
Accessories,Cluster 4,Pink,10,Yes,Quarterly,Male,Handbag,Missouri,PayPal,Cash,Yes,Spring,2-Day Shipping,M,Yes,57,4,31,4.8
Footwear,Cluster 1,Purple,11,Yes,Bi-Weekly,Male,Shoes,Arkansas,Credit Card,Bank Transfer,Yes,Fall,Store Pickup,L,Yes,53,26,34,4.1
Clothing,Cluster 3,Olive,12,Yes,Fortnightly,Male,Shorts,Hawaii,PayPal,Bank Transfer,Yes,Winter,Store Pickup,S,Yes,30,10,68,4.9
Outerwear,Cluster 2,Gold,13,Yes,Fortnightly,Male,Coat,Delaware,PayPal,Venmo,Yes,Winter,Express,M,Yes,61,37,72,4.5
Clothing,Cluster 3,Violet,14,Yes,Weekly,Male,Dress,New Hampshire,Debit Card,PayPal,Yes,Spring,Express,M,Yes,65,31,51,4.7
